paises;CO2_TotalesMt;CO2kg_1000S;CO2t_per_capita;Var;enlace
Estonia;14,906;0,29;11,49;7,83%;/energia-y-medio-ambiente/emisiones-co2/estonia?anio=2021
Egipto;259,321;0,21;2,48;4,81%;/energia-y-medio-ambiente/emisiones-co2/egipto?anio=2021
Eritrea;0,835;0,05;0,15;3,74%;/energia-y-medio-ambiente/emisiones-co2/eritrea?anio=2021
Etiopía;19,209;0,07;0,17;3,27%;/energia-y-medio-ambiente/emisiones-co2/etiopia?anio=2021
Finlandia;38,992;0,14;6,97;1,62%;/energia-y-medio-ambiente/emisiones-co2/finlandia?anio=2021
Fiyi;1,731;0,17;1,86;3,06%;/energia-y-medio-ambiente/emisiones-co2/fiyi?anio=2021
Gabón;5,520;0,17;2,52;-1,79%;/energia-y-medio-ambiente/emisiones-co2/gabon?anio=2021
Granada;0,344;0,20;3,16;11,63%;/energia-y-medio-ambiente/emisiones-co2/granada?anio=2021
Georgia;11,649;0,20;3,00;3,89%;/energia-y-medio-ambiente/emisiones-co2/georgia?anio=2021
Ghana;23,636;0,13;0,75;7,28%;/energia-y-medio-ambiente/emisiones-co2/ghana?anio=2021
Gambia;0,558;0,10;0,24;4,84%;/energia-y-medio-ambiente/emisiones-co2/gambia?anio=2021
Guinea;3,441;0,10;0,24;4,08%;/energia-y-medio-ambiente/emisiones-co2/guinea?anio=2021
Guinea Ecuatorial;7,004;0,29;4,82;1,84%;/energia-y-medio-ambiente/emisiones-co2/guinea-ecuatorial?anio=2021
Grecia;53,372;0,17;4,82;2,46%;/energia-y-medio-ambiente/emisiones-co2/grecia?anio=2021
Guatemala;20,191;0,13;1,11;13,75%;/energia-y-medio-ambiente/emisiones-co2/guatemala?anio=2021
Guinea-Bisáu;0,321;0,09;0,16;5,32%;/energia-y-medio-ambiente/emisiones-co2/guinea-bisau?anio=2021
Guyana;2,900;0,16;3,65;7,38%;/energia-y-medio-ambiente/emisiones-co2/guyana?anio=2021
Hong Kong;33,205;0,07;4,37;0,53%;/energia-y-medio-ambiente/emisiones-co2/hong-kong?anio=2021
Honduras;9,751;0,17;0,99;10,22%;/energia-y-medio-ambiente/emisiones-co2/honduras?anio=2021
Croacia;17,999;0,15;4,40;5,30%;/energia-y-medio-ambiente/emisiones-co2/croacia?anio=2021
Haiti;3,244;0,10;0,28;9,22%;/energia-y-medio-ambiente/emisiones-co2/haiti?anio=2021
Hungría;50,691;0,16;5,29;2,98%;/energia-y-medio-ambiente/emisiones-co2/hungria?anio=2021
Indonesia;602,594;0,19;2,19;0,93%;/energia-y-medio-ambiente/emisiones-co2/indonesia?anio=2021
Irlanda;35,013;0,07;7,11;5,53%;/energia-y-medio-ambiente/emisiones-co2/irlanda?anio=2021
Israel;59,590;0,10;6,74;-1,97%;/energia-y-medio-ambiente/emisiones-co2/israel?anio=2021
India;2.648,779;0,28;1,90;9,41%;/energia-y-medio-ambiente/emisiones-co2/india?anio=2021
Irak;177,849;0,46;4,17;4,49%;/energia-y-medio-ambiente/emisiones-co2/irak?anio=2021
Irán;710,831;0,54;8,43;2,01%;/energia-y-medio-ambiente/emisiones-co2/iran?anio=2021
Islandia;2,908;0,15;8,40;6,43%;/energia-y-medio-ambiente/emisiones-co2/islandia?anio=2021
Jamaica;8,081;0,30;2,77;11,53%;/energia-y-medio-ambiente/emisiones-co2/jamaica?anio=2021
Jordania;24,297;0,24;2,35;2,23%;/energia-y-medio-ambiente/emisiones-co2/jordania?anio=2021
Kenia;22,430;0,09;0,41;3,76%;/energia-y-medio-ambiente/emisiones-co2/kenia?anio=2021
Kirguistán;10,780;0,33;1,69;9,37%;/energia-y-medio-ambiente/emisiones-co2/kirguistan?anio=2021
Camboya;16,955;0,23;1,00;1,48%;/energia-y-medio-ambiente/emisiones-co2/camboya?anio=2021
Kiribati;0,075;0,30;0,61;2,38%;/energia-y-medio-ambiente/emisiones-co2/kiribati?anio=2021
Comoras;0,278;0,10;0,31;4,57%;/energia-y-medio-ambiente/emisiones-co2/comoras?anio=2021
San Cristóbal y Nieves;0,286;0,22;4,94;9,03%;/energia-y-medio-ambiente/emisiones-co2/san-cristobal-nieves?anio=2021
Corea del Norte;62,574;0,51;2,41;2,00%;/energia-y-medio-ambiente/emisiones-co2/corea-del-norte?anio=2021
Corea del Sur;626,800;0,27;12,13;3,21%;/energia-y-medio-ambiente/emisiones-co2/corea-del-sur?anio=2021
Kuwait;98,083;0,51;22,49;6,20%;/energia-y-medio-ambiente/emisiones-co2/kuwait?anio=2021
Kazajistán;211,207;0,43;11,14;-1,73%;/energia-y-medio-ambiente/emisiones-co2/kazajistan?anio=2021
Laos;20,560;0,35;2,83;0,35%;/energia-y-medio-ambiente/emisiones-co2/laos?anio=2021
Líbano;25,769;0,39;4,33;4,26%;/energia-y-medio-ambiente/emisiones-co2/libano?anio=2021
Santa Lucía;0,713;0,30;3,94;11,47%;/energia-y-medio-ambiente/emisiones-co2/santa-lucia?anio=2021
Sri Lanka;23,863;0,08;1,13;-3,03%;/energia-y-medio-ambiente/emisiones-co2/sri-lanka?anio=2021
Liberia;1,444;0,20;0,28;4,69%;/energia-y-medio-ambiente/emisiones-co2/liberia?anio=2021
Lesoto;0,653;0,12;0,28;1,87%;/energia-y-medio-ambiente/emisiones-co2/lesoto?anio=2021
Lituania;13,825;0,13;4,87;2,42%;/energia-y-medio-ambiente/emisiones-co2/lituania?anio=2021
Luxemburgo;8,446;0,11;13,82;2,34%;/energia-y-medio-ambiente/emisiones-co2/luxemburgo?anio=2021
Letonia;7,212;0,12;3,85;4,94%;/energia-y-medio-ambiente/emisiones-co2/letonia?anio=2021
